pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
Kepler-168 b,Transit,2014,0,4.425391,1.46,2.73,4.82,Kepler-168,1343.6,1.11,,0.361,6282.0,0.09,2.29
Kepler-233 b,Transit,2014,0,8.472382,2.43,6.48,2.48,Kepler-233,856.417,0.85,,-0.328,5360.0,-0.09,0.6
Kepler-235 d,Transit,2014,0,20.060548,2.05,4.86,3.1,Kepler-235,428.018,0.58,M0 V,-1.102,4255.0,-0.51,6.0
Kepler-171 b,Transit,2014,0,4.166972,2.34,6.08,2.61,Kepler-171,863.855,0.91,,-0.079,5642.0,0.11,3.47
Kepler-185 c,Transit,2014,0,20.729042,2.02,4.74,3.16,Kepler-185,466.735,0.81,,-0.504,5208.0,0.16,11.9
Kepler-1654 b,Transit,2018,0,1047.8356,9.18,158.915,1.2,Kepler-1654,568.117,1.01,G5 V,0.09,5597.0,-0.088,5.0
TOI-2202 b,Transit,2021,0,11.9101,11.321,310.83618,1.18,TOI-2202,235.933,0.8200000000000001,K8 V,-0.401,5144.0,0.04,7.48
Kepler-173 b,Transit,2014,0,4.263742,1.29,2.21,5.66,Kepler-173,833.165,0.79,,0.074,6031.0,0.036000000000000004,3.3
Kepler-194 c,Transit,2014,0,17.308032,2.59,7.22,2.28,Kepler-194,1097.97,1.09,,0.043000000000000003,6089.0,0.16,2.5
Kepler-1661 b,Transit,2020,0,175.06,3.87,17.0,1.6,Kepler-1661,410.607,0.84,K,-0.513,5100.0,-0.12,2.0
GJ 887 c,Radial Velocity,2020,0,21.789,2.67,7.6,2.19,GJ 887,3.29,0.49,M1 V,-1.434,3688.0,-0.06,2.88
Kepler-21 b,Transit,2012,0,2.78578,1.639,5.08,6.4,Kepler-21,108.522,1.4100000000000001,F6 IV,0.715,6305.0,-0.03,3.03
Kepler-238 e,Transit,2013,0,23.654,5.6,169.7,5.31,Kepler-238,1798.75,1.06,,0.43,5732.0,0.23,6.76
Kepler-175 b,Transit,2014,0,11.903515,2.56,7.08,2.32,Kepler-175,1312.34,1.12,,0.194,6064.0,0.1,3.39
Kepler-175 c,Transit,2014,0,34.035257,3.1,9.8,1.81,Kepler-175,1312.34,1.12,,0.194,6064.0,0.1,3.39
Kepler-176 b,Transit,2014,0,5.433074,1.43,2.63,4.9399999999999995,Kepler-176,527.321,0.79,,-0.404,5232.0,0.16,13.7
Kepler-222 d,Transit,2014,0,28.081912,3.69,13.2,1.44,Kepler-222,758.854,0.88,,-0.338,5433.0,0.05,0.7000000000000001
Kepler-24 c,Transit,2011,0,12.3335,2.8,508.5,,Kepler-24,1156.81,1.03,,0.064,5800.0,-0.24,7.7
Kepler-241 b,Transit,2014,0,12.718092,2.33,6.04,2.62,Kepler-241,512.0,0.67,,-0.607,4699.0,0.031,13.9
Kepler-180 b,Transit,2014,0,13.817124,1.5,2.8600000000000003,4.66,Kepler-180,695.65,0.9500000000000001,,-0.132,5731.0,0.03,9.7
Kepler-182 b,Transit,2014,0,9.825792,2.58,7.18,2.3,Kepler-182,1549.09,1.16,,0.34400000000000003,6250.0,0.07200000000000001,3.09
Kepler-251 b,Transit,2014,0,4.790936,1.33,2.33,5.44,Kepler-251,924.625,0.9500000000000001,,-0.17200000000000001,5526.0,-0.02,3.63
Kepler-189 b,Transit,2014,0,10.399931,1.21,1.92,5.96,Kepler-189,591.534,0.79,,-0.448,5235.0,-0.02,0.7000000000000001
Kepler-192 c,Transit,2014,0,21.2234,2.79,8.2,2.07,Kepler-192,651.674,0.9400000000000001,,-0.094,5479.0,0.357,0.5
